Date,Open,High,Low,Close,Volume
2014-08-01,36.94,36.94,36.64,36.64,851.0
2014-07-31,37.75,37.75,37.1,37.1,5151.0
2014-07-30,37.74,37.74,37.57,37.6,563.0
2014-07-29,37.66,37.82,37.6,37.6,2753.0
2014-07-28,37.76,37.76,37.48,37.56,3724.0
2014-07-25,37.66,37.76,37.61,37.61,1469.0
2014-07-24,37.8,37.8,37.69,37.78,13161.0
2014-07-23,37.75,37.75,37.65,37.75,869.0
2014-07-22,37.31,37.65,37.31,37.65,1538.0
2014-07-21,37.4,37.4,37.2,37.2,1477.0
2014-07-18,36.99,37.26,36.98,37.26,1445.0
2014-07-17,37.46,37.46,37.25,37.25,2320.0
2014-07-16,37.22,37.4,37.22,37.34,2910.0
2014-07-15,37.26,37.45,37.09,37.13,1634.0
2014-07-14,37.15,37.15,36.98,37.11,1172.0
2014-07-11,36.88,36.88,36.88,36.88,0.0
2014-07-10,36.89,36.89,36.75,36.85,1007.0
2014-07-09,37.1,37.1,36.85,36.88,19484.0
2014-07-08,37.29,37.29,36.8,36.8,1183.0
2014-07-07,37.4,37.4,37.1,37.1,10475.0
2014-07-04,37.37,37.5,37.22,37.23,5427.0
2014-07-03,37.19,37.2,36.92,37.2,1565.0
2014-07-02,37.12,37.12,36.89,36.93,7227.0
2014-07-01,36.68,36.84,36.68,36.84,664.0
2014-06-30,36.75,36.75,36.58,36.59,1457.0
2014-06-27,36.56,36.72,36.56,36.63,1163.0
2014-06-26,36.49,36.75,36.49,36.62,6672.0
2014-06-25,36.59,36.6,36.48,36.6,3416.0
2014-06-24,37.0,37.0,36.68,36.94,829.0
2014-06-23,37.0,37.0,36.79,36.79,1676.0
2014-06-20,36.9,36.93,36.75,36.87,829.0
2014-06-19,36.56,36.86,36.56,36.63,5904.0
2014-06-18,36.5,36.55,36.5,36.5,735.0
2014-06-17,36.47,36.54,36.45,36.52,392.0
2014-06-16,36.64,36.64,36.19,36.3,3161.0
2014-06-13,36.3,36.47,36.3,36.47,3651.0
