udt,active_uv,active_didUV,delta,delta2
20190101,1317387,1266555,3.86%,4.01%
20190102,1217155,1200815,1.34%,1.36%
20190103,1126486,1117427,0.80%,0.81%
20190104,1034932,1030099,0.47%,0.47%
20190105,897543,894293,0.36%,0.36%
20190106,938232,927108,1.19%,1.20%
20190107,1034516,1031501,0.29%,0.29%
20190108,1003267,996678,0.66%,0.66%
20190109,981762,978642,0.32%,0.32%
20190110,966188,959442,0.70%,0.70%
20190111,892541,894350,-0.20%,-0.20%
20190112,772038,773278,-0.16%,-0.16%
20190113,766488,767233,-0.10%,-0.10%
20190114,932950,927028,0.63%,0.64%
20190115,946802,938852,0.84%,0.85%
20190116,905296,898948,0.70%,0.71%
20190117,894685,890198,0.50%,0.50%
20190118,858799,860639,-0.21%,-0.21%
20190119,771479,773549,-0.27%,-0.27%
20190120,726624,727255,-0.09%,-0.09%
20190121,865411,861040,0.51%,0.51%
20190122,855551,851435,0.48%,0.48%
20190123,867444,861544,0.68%,0.68%
20190124,835537,831884,0.44%,0.44%
20190125,792515,783514,1.14%,1.15%
20190126,733176,726079,0.97%,0.98%
20190127,716506,717346,-0.12%,-0.12%
20190128,788659,783957,0.60%,0.60%
20190129,792855,786573,0.79%,0.80%
20190130,776049,770205,0.75%,0.76%
20190131,749229,747209,0.27%,0.27%
20190201,686094,687255,-0.17%,-0.17%
20190202,676993,677810,-0.12%,-0.12%
20190203,662615,659252,0.51%,0.51%
20190204,550814,553092,-0.41%,-0.41%
20190205,569534,571028,-0.26%,-0.26%
20190206,598761,598655,0.02%,0.02%
20190207,599128,599041,0.01%,0.01%
20190208,601661,601570,0.02%,0.02%
20190209,620895,620067,0.13%,0.13%
20190210,658635,657905,0.11%,0.11%
20190211,795779,792479,0.41%,0.42%
20190212,769455,767641,0.24%,0.24%
20190213,784077,783458,0.08%,0.08%
20190214,808986,809744,-0.09%,-0.09%
20190215,790551,790803,-0.03%,-0.03%
20190216,711888,712119,-0.03%,-0.03%
20190217,761428,758819,0.34%,0.34%
20190218,884413,878665,0.65%,0.65%
20190219,859703,853505,0.72%,0.73%
20190220,899564,894103,0.61%,0.61%
20190221,854193,856732,-0.30%,-0.30%
20190222,821231,823733,-0.30%,-0.30%
20190223,717976,720528,-0.36%,-0.35%
20190224,719985,721969,-0.28%,-0.27%
20190225,905919,901680,0.47%,0.47%
20190226,910837,903631,0.79%,0.80%
20190227,874285,872324,0.22%,0.22%
20190228,900304,887270,1.45%,1.47%
20190301,837568,836404,0.14%,0.14%
20190302,732035,730800,0.17%,0.17%
20190303,733854,730236,0.49%,0.50%
20190304,896469,885814,1.19%,1.20%
20190305,922229,912268,1.08%,1.09%
20190306,896395,888686,0.86%,0.87%
20190307,881146,874227,0.79%,0.79%
20190308,806852,804384,0.31%,0.31%
20190309,742507,742368,0.02%,0.02%
20190310,720283,719164,0.16%,0.16%
20190311,845724,842419,0.39%,0.39%
20190312,900884,894874,0.67%,0.67%
20190313,879386,877211,0.25%,0.25%
20190314,887081,881289,0.65%,0.66%
20190315,852585,853653,-0.13%,-0.13%
20190316,720833,714129,0.93%,0.94%
20190317,803341,798916,0.55%,0.55%
20190318,918494,916325,0.24%,0.24%
20190319,899851,894627,0.58%,0.58%
20190320,890888,891249,-0.04%,-0.04%
20190321,872067,867965,0.47%,0.47%
20190322,822853,826055,-0.39%,-0.39%
20190323,702158,705503,-0.48%,-0.47%
20190324,704683,707173,-0.35%,-0.35%
20190325,874109,868970,0.59%,0.59%
20190326,879259,873990,0.60%,0.60%
20190327,886215,881360,0.55%,0.55%
20190328,893480,889354,0.46%,0.46%
20190329,823019,820489,0.31%,0.31%
20190330,737704,735410,0.31%,0.31%
20190331,714346,716593,-0.31%,-0.31%
20190401,866549,861438,0.59%,0.59%
20190402,864957,860196,0.55%,0.55%
20190403,860378,857266,0.36%,0.36%
20190404,785592,788642,-0.39%,-0.39%
20190405,688061,691252,-0.46%,-0.46%
20190406,648094,650916,-0.44%,-0.43%
20190407,728520,727773,0.10%,0.10%
20190408,888970,881594,0.83%,0.84%
20190409,872585,866675,0.68%,0.68%
20190410,885883,880866,0.57%,0.57%
20190411,855583,853996,0.19%,0.19%
20190412,825832,829778,-0.48%,-0.48%
20190413,707382,711468,-0.58%,-0.57%
20190414,699215,705181,-0.85%,-0.85%
20190415,867822,865701,0.24%,0.25%
20190416,885099,881135,0.45%,0.45%
20190417,878831,876733,0.24%,0.24%
20190418,867671,865860,0.21%,0.21%
20190419,841176,846898,-0.68%,-0.68%
20190420,712758,718983,-0.87%,-0.87%
20190421,762329,763760,-0.19%,-0.19%
20190422,880515,880561,-0.01%,-0.01%
20190423,951456,947757,0.39%,0.39%
20190424,910491,906859,0.40%,0.40%
20190425,846305,856658,-1.22%,-1.21%
20190426,853027,856092,-0.36%,-0.36%
20190427,730678,735867,-0.71%,-0.71%
20190428,832285,831372,0.11%,0.11%
20190429,878402,879861,-0.17%,-0.17%
20190430,796204,809763,-1.70%,-1.67%
20190501,689266,702466,-1.92%,-1.88%
20190502,639482,651405,-1.86%,-1.83%
20190503,656264,667473,-1.71%,-1.68%
20190504,697236,707920,-1.53%,-1.51%
20190505,816833,823013,-0.76%,-0.75%
20190506,899617,898081,0.17%,0.17%
20190507,884430,886977,-0.29%,-0.29%
20190508,869018,878217,-1.06%,-1.05%
20190509,860929,866734,-0.67%,-0.67%
20190510,851023,858195,-0.84%,-0.84%
20190511,743499,751158,-1.03%,-1.02%
20190512,714748,730292,-2.17%,-2.13%
20190513,880737,886057,-0.60%,-0.60%
20190514,891628,896995,-0.60%,-0.60%
20190515,900093,905701,-0.62%,-0.62%
20190516,834159,845703,-1.38%,-1.37%
20190517,850690,855257,-0.54%,-0.53%
20190518,710029,721438,-1.61%,-1.58%
20190519,705082,712214,-1.01%,-1.00%
20190520,871924,876266,-0.50%,-0.50%
20190521,882688,896308,-1.54%,-1.52%
20190522,913639,929570,-1.74%,-1.71%
20190523,841249,853412,-1.45%,-1.43%
20190524,819892,828586,-1.06%,-1.05%
20190525,761123,756739,0.58%,0.58%
20190526,834929,829226,0.68%,0.69%
20190527,902432,897670,0.53%,0.53%
20190528,892654,887786,0.55%,0.55%
20190529,905855,903081,0.31%,0.31%
20190530,834691,840737,-0.72%,-0.72%
20190531,836326,836157,0.02%,0.02%
20190601,714040,721139,-0.99%,-0.98%
20190602,721884,723318,-0.20%,-0.20%
20190603,892489,886630,0.66%,0.66%
20190604,881191,879619,0.18%,0.18%
20190605,835902,841563,-0.68%,-0.67%
20190606,831851,831532,0.04%,0.04%
20190607,669441,675838,-0.96%,-0.95%
20190608,666503,665695,0.12%,0.12%
20190609,733730,733891,-0.02%,-0.02%
20190610,886005,879304,0.76%,0.76%
20190611,886091,879180,0.78%,0.79%
20190612,886534,883171,0.38%,0.38%
20190613,847279,853225,-0.70%,-0.70%
20190614,815710,822306,-0.81%,-0.80%
20190615,711435,718649,-1.01%,-1.00%
20190616,744162,743651,0.07%,0.07%
20190617,878650,876236,0.27%,0.28%
20190618,899720,892614,0.79%,0.80%
20190619,883747,881474,0.26%,0.26%
20190620,836274,833762,0.30%,0.30%
20190621,810074,809018,0.13%,0.13%
20190622,698695,705643,-0.99%,-0.98%
20190623,715302,712928,0.33%,0.33%
20190624,866056,863733,0.27%,0.27%
20190625,861198,863199,-0.23%,-0.23%
20190626,847718,847075,0.08%,0.08%
20190627,817489,822840,-0.65%,-0.65%
20190628,802281,801029,0.16%,0.16%
20190629,715416,709874,0.77%,0.78%
20190630,777829,772735,0.65%,0.66%
20190701,827715,830873,-0.38%,-0.38%
20190702,856776,856933,-0.02%,-0.02%
20190703,833723,837532,-0.46%,-0.45%
20190704,824319,820923,0.41%,0.41%
20190705,850610,845290,0.63%,0.63%
20190706,737354,741433,-0.55%,-0.55%
20190707,705601,708233,-0.37%,-0.37%
20190708,825024,821785,0.39%,0.39%
20190709,848195,846111,0.25%,0.25%
20190710,818986,822814,-0.47%,-0.47%
20190711,807700,810830,-0.39%,-0.39%
20190712,782256,785529,-0.42%,-0.42%
20190713,691066,689880,0.17%,0.17%
20190714,687070,689860,-0.41%,-0.40%
20190715,839478,835159,0.51%,0.52%
20190716,833873,827854,0.72%,0.73%
20190717,998705,1003339,-0.46%,-0.46%
20190718,799477,795163,0.54%,0.54%
20190719,764828,765536,-0.09%,-0.09%
20190720,677456,679058,-0.24%,-0.24%
20190721,703368,701211,0.31%,0.31%
20190722,831580,823851,0.93%,0.94%
20190723,827023,820548,0.78%,0.79%
20190724,786318,786908,-0.08%,-0.07%
20190725,778232,777739,0.06%,0.06%
20190726,788786,784454,0.55%,0.55%
20190727,704592,701527,0.44%,0.44%
20190728,670650,666081,0.68%,0.69%
20190729,813963,800153,1.70%,1.73%
20190730,843061,824798,2.17%,2.21%
20190731,796713,790737,0.75%,0.76%
20190801,789762,782932,0.86%,0.87%
20190802,776751,763393,1.72%,1.75%
20190803,687074,684089,0.43%,0.44%
20190804,661674,659367,0.35%,0.35%
20190805,778220,774983,0.42%,0.42%
20190806,794578,784349,1.29%,1.30%
20190807,780938,771358,1.23%,1.24%
20190808,762848,761116,0.23%,0.23%
20190809,775270,767661,0.98%,0.99%
20190810,651664,651464,0.03%,0.03%
20190811,659010,657737,0.19%,0.19%
20190812,767967,763022,0.64%,0.65%
20190813,817601,802365,1.86%,1.90%
20190814,784459,774928,1.21%,1.23%
20190815,777408,767583,1.26%,1.28%
20190816,789987,778048,1.51%,1.53%
20190817,675692,668758,1.03%,1.04%
20190818,669613,662284,1.09%,1.11%
20190819,790160,779845,1.31%,1.32%
20190820,811559,802390,1.13%,1.14%
